Property ID,Property text,Threat ID,Threat text,Threat Description,Threat Proof of Concept,CVE,CWE,Mitigation ID,Mitigation Text,Mitigation Level,Mitigation Description,Mitigation Regulatory Mapping
PID-21,Device includes a bootloader,TID-201,Inadequate Bootloader Protection and Verification,"Some devices utilize bootloaders that are either stored in writable memory or memory that can be made writable. It may then be possible for a threat actor to alter the contents of the device's designated boot code storage locations to inject malicious code or modify the bootloader's operation. This could allow the installation of a ""bootkit"", which is loaded before the operating system and can undermine any security protections within the bootloader or operating system. Typically, this is done through a vulnerability or lack of write protections in the bootloader loader/runtime environment.","ATT&CK Technique: Pre-OS Boot: Bootkit (T1542.003) (https://attack.mitre.org/techniques/T1542/003/); Detecting UEFI Bootkits in the Wild (Part 1) (https://blogs.vmware.com/security/2021/06/detecting-uefi-bootkits-in-the-wild-part-1.html); LOJAX First UEFI rootkit found in the wild, courtesy of the Sednit group (https://www.eset.com/fileadmin/ESET/US/resources/datasheets/ESETus-datasheet-lojax.pdf); MosaicRegressor: Lurking in the Shadows of UEFI (https://securelist.com/mosaicregressor/98849/); TRICKBOT NOW OFFERS ‘TRICKBOOT’: PERSIST, BRICK, PROFIT (https://eclypsium.com/wp-content/uploads/TrickBot-Now-Offers-TrickBoot-Persist-Brick-Profit.pdf)",,CWE-693; CWE-284,MID-001,Software Only Bootloader Authentication,foundational,"Under a software bootloader authentication scheme, the bootloader is authenticated using a software-based mechanism where the key, authenticated integrity measurement, and verification logic are stored within memory and the authentication is performed on a main/multipurpose processor. This performs boot-time integrity verification of the bootloader to ensure it was not previously modified or tampered with. Before a bootloader is executed, it should be authenticated by taking an integrity measurement (e.g., hash) of the bootloader, and verifying the hash against a stored signed integrity measurement stored in a bootrom. A device may have multiple bootloaders which operate in multiple stages; therefore, this mitigation may need to be implemented and executed multiple times across the stages to ensure the integrity of each stage.

Lastly, authenticating the first and all subsequent bootloaders allows the device to build a chain-of-trust, through which a secure boot scheme can be made for the device. Secure boot schemes allow the device to use earlier-staged authenticated bootloaders to authenticate and launch subsequent bootloaders and software.

Because this mitigation stores the keys and authentication logic/mechanisms in memory and executes checks on the main CPU, this mitigation is vulnerable to key extractions (*TID-214: Secrets Extracted from Device Root of Trust*) and tampering with the authentication process (*TID-214: Inadequate Bootloader Protection and Verification*). To minimize this threat, the first stage of the bootloader that performs this check should be stored within ROM to prevent modification by possible malicious code injected at runtime.

<u>Note</u>: This mitigation is in contrast to a hardware-based bootloader authentication scheme (*MID-002 - Hardware-backed Bootloader Authentication*), where dedicated hardware is used to protect the key and authentication process.

<u>Limitation</u>: A software-based bootloader authentication scheme can be bypassed if a threat actor is able to physically extract symmetric keys from storage, memory, or through side-channel analysis of the processor while the key is in-use. Additionally, if the device is using asymmetric encryption, these protections can be undermined by changing the hash of the public key or the public key itself stored on the device.",EDR / HDR / NDR 3.14 – Integrity of the boot process
PID-231,Device includes an operating system that uses drivers/modules that can be loaded,TID-203,Malicious OS Kernel Driver/Module Installable,"Threat actors may be able to install a driver or kernel module with malicious code to load a rootkit and manipulate the OS. Drivers and kernel modules generally operate with a high-level privileges (e.g. Ring 0) and therefore can be used to manipulate the operation of the existing OS. OS kernel modules and drivers can typically be installed by any users with root/administrative permissions, though some OSes require that drivers be digitally signed by a trusted OEM before they can be installed on a device.",Syslogk Rootkit (https://decoded.avast.io/davidalvarez/linux-threat-hunting-syslogk-a-kernel-rootkit-found-under-development-in-the-wild/),,CWE-306,MID-001,Software Only Bootloader Authentication,foundational,"Under a software bootloader authentication scheme, the bootloader is authenticated using a software-based mechanism where the key, authenticated integrity measurement, and verification logic are stored within memory and the authentication is performed on a main/multipurpose processor. This performs boot-time integrity verification of the bootloader to ensure it was not previously modified or tampered with. Before a bootloader is executed, it should be authenticated by taking an integrity measurement (e.g., hash) of the bootloader, and verifying the hash against a stored signed integrity measurement stored in a bootrom. A device may have multiple bootloaders which operate in multiple stages; therefore, this mitigation may need to be implemented and executed multiple times across the stages to ensure the integrity of each stage.

Lastly, authenticating the first and all subsequent bootloaders allows the device to build a chain-of-trust, through which a secure boot scheme can be made for the device. Secure boot schemes allow the device to use earlier-staged authenticated bootloaders to authenticate and launch subsequent bootloaders and software.

Because this mitigation stores the keys and authentication logic/mechanisms in memory and executes checks on the main CPU, this mitigation is vulnerable to key extractions (*TID-214: Secrets Extracted from Device Root of Trust*) and tampering with the authentication process (*TID-214: Inadequate Bootloader Protection and Verification*). To minimize this threat, the first stage of the bootloader that performs this check should be stored within ROM to prevent modification by possible malicious code injected at runtime.

<u>Note</u>: This mitigation is in contrast to a hardware-based bootloader authentication scheme (*MID-002 - Hardware-backed Bootloader Authentication*), where dedicated hardware is used to protect the key and authentication process.

<u>Limitation</u>: A software-based bootloader authentication scheme can be bypassed if a threat actor is able to physically extract symmetric keys from storage, memory, or through side-channel analysis of the processor while the key is in-use. Additionally, if the device is using asymmetric encryption, these protections can be undermined by changing the hash of the public key or the public key itself stored on the device.",EDR / HDR / NDR 3.14 – Integrity of the boot process
PID-271,Device has firmware or software that is not cryptographically checked for integrity validation,TID-211,Device Allows Unauthenticated Firmware Installation,"If a device does not have a mechanism to authenticate firmware updates, a threat actor may be able to install malicious or corrupt firmware on the device. In such cases, an adversary may craft a customized or maliciously modified firmware update package that, if properly formed, the device will install it without challenge. The unauthorized firmware could then be used to (i) “brick” the device and prevent it from being reset, (ii) install malicious logic on the device, including to gain persistence, or (iii) enable access to ease reverse engineering the device to identify remotely exploitable vulnerabilities, depending on how the firmware was formed and how the target device responds to it. Devices that perform only error checking of update packages prior to installation (e.g., parity checks, hash checks without a cryptographic signature, etc.) will be susceptible to this threat.

This threat also includes any firmware authentication mechanisms that are not enforced on the device. If devices don't check firmware integrity/download command authenticity on-device, threat actors may be able to falsely attest that their firmware is secure, thereby bypassing firmware integrity checks. One mechanism through which threat actors could perform this action is by taking advantage of a device's reliance on a separate management device or service to check firmware. Threat actors may be able to spoof the management device firmware check and successfully initiate a malicious firmware download.",EQUATION GROUP: QUESTIONS AND ANSWERS (https://media.kasperskycontenthub.com/wp-content/uploads/sites/43/2018/03/08064459/Equation_group_questions_and_answers.pdf); ATT&CK Technique: System Firmware (T0857) (https://attack.mitre.org/techniques/T0857/); On the recent vulnerability in Diebold Nixdorf ATMs (https://habr.com/en/companies/pt/articles/589291/),CVE-2015-6492; CVE-2015-6492,CWE-306,MID-001,Software Only Bootloader Authentication,foundational,"Under a software bootloader authentication scheme, the bootloader is authenticated using a software-based mechanism where the key, authenticated integrity measurement, and verification logic are stored within memory and the authentication is performed on a main/multipurpose processor. This performs boot-time integrity verification of the bootloader to ensure it was not previously modified or tampered with. Before a bootloader is executed, it should be authenticated by taking an integrity measurement (e.g., hash) of the bootloader, and verifying the hash against a stored signed integrity measurement stored in a bootrom. A device may have multiple bootloaders which operate in multiple stages; therefore, this mitigation may need to be implemented and executed multiple times across the stages to ensure the integrity of each stage.

Lastly, authenticating the first and all subsequent bootloaders allows the device to build a chain-of-trust, through which a secure boot scheme can be made for the device. Secure boot schemes allow the device to use earlier-staged authenticated bootloaders to authenticate and launch subsequent bootloaders and software.

Because this mitigation stores the keys and authentication logic/mechanisms in memory and executes checks on the main CPU, this mitigation is vulnerable to key extractions (*TID-214: Secrets Extracted from Device Root of Trust*) and tampering with the authentication process (*TID-214: Inadequate Bootloader Protection and Verification*). To minimize this threat, the first stage of the bootloader that performs this check should be stored within ROM to prevent modification by possible malicious code injected at runtime.

<u>Note</u>: This mitigation is in contrast to a hardware-based bootloader authentication scheme (*MID-002 - Hardware-backed Bootloader Authentication*), where dedicated hardware is used to protect the key and authentication process.

<u>Limitation</u>: A software-based bootloader authentication scheme can be bypassed if a threat actor is able to physically extract symmetric keys from storage, memory, or through side-channel analysis of the processor while the key is in-use. Additionally, if the device is using asymmetric encryption, these protections can be undermined by changing the hash of the public key or the public key itself stored on the device.",EDR / HDR / NDR 3.14 – Integrity of the boot process
PID-2722,Device includes digitally signed firmware (with private key),TID-213,FW/SW Update Integrity Shared Secrets Extraction,"To avoid the weaknesses of a shared secret verification (see TID-212), devices may utilize a digital signature verification scheme based on asymmetric public key cryptography. However, if the device does not correctly verify a firmware/software signature correctly, a threat actor can bypass the device's authenticity checking mechanisms to upload malicious or corrupt version. The unauthorized firmware could “brick” the device, preventing it from being reset. This could also be used to install malicious logic on the device.

NOTE: firmware/software signature here refers to processes that use cryptographic keys to verify firmware integrity and origin. These can include keyed hashes and/or asymmetric key signing. This does not include encrypting firmware with no other integrity verification mechanisms in-place.",,CVE-2021-43394; CVE-2021-43393; CVE-2023-33768; CVE-2023-33768; CVE-2020-3209; CVE-2020-3209; CVE-2023-41991; CVE-2023-41991,CWE-347,MID-001,Software Only Bootloader Authentication,foundational,"Under a software bootloader authentication scheme, the bootloader is authenticated using a software-based mechanism where the key, authenticated integrity measurement, and verification logic are stored within memory and the authentication is performed on a main/multipurpose processor. This performs boot-time integrity verification of the bootloader to ensure it was not previously modified or tampered with. Before a bootloader is executed, it should be authenticated by taking an integrity measurement (e.g., hash) of the bootloader, and verifying the hash against a stored signed integrity measurement stored in a bootrom. A device may have multiple bootloaders which operate in multiple stages; therefore, this mitigation may need to be implemented and executed multiple times across the stages to ensure the integrity of each stage.

Lastly, authenticating the first and all subsequent bootloaders allows the device to build a chain-of-trust, through which a secure boot scheme can be made for the device. Secure boot schemes allow the device to use earlier-staged authenticated bootloaders to authenticate and launch subsequent bootloaders and software.

Because this mitigation stores the keys and authentication logic/mechanisms in memory and executes checks on the main CPU, this mitigation is vulnerable to key extractions (*TID-214: Secrets Extracted from Device Root of Trust*) and tampering with the authentication process (*TID-214: Inadequate Bootloader Protection and Verification*). To minimize this threat, the first stage of the bootloader that performs this check should be stored within ROM to prevent modification by possible malicious code injected at runtime.

<u>Note</u>: This mitigation is in contrast to a hardware-based bootloader authentication scheme (*MID-002 - Hardware-backed Bootloader Authentication*), where dedicated hardware is used to protect the key and authentication process.

<u>Limitation</u>: A software-based bootloader authentication scheme can be bypassed if a threat actor is able to physically extract symmetric keys from storage, memory, or through side-channel analysis of the processor while the key is in-use. Additionally, if the device is using asymmetric encryption, these protections can be undermined by changing the hash of the public key or the public key itself stored on the device.",EDR / HDR / NDR 3.14 – Integrity of the boot process
PID-23,Device includes OS/kernel,TID-218,Operating System Susceptible to Rootkit,"A threat actor may be able to install a rootkit that can manipulate the operating system (OS). Rootkits can evade OS protections by installing themselves at the same privilege-level as the OS. A threat actor can use a rootkit to maintain persistence on the device, evade detection, or execute malicious programs/logic.",ATT&CK Technique: Rootkit (T0851) (https://attack.mitre.org/techniques/T0851/); Ghost in the PLC (https://www.blackhat.com/docs/eu-16/materials/eu-16-Abbasi-Ghost-In-The-PLC-Designing-An-Undetectable-Programmable-Logic-Controller-Rootkit-wp.pdf); Air Force Researchers Plant Rootkit in a PLC (https://www.darkreading.com/attacks-breaches/air-force-researchers-plant-rootkit-in-a-plc),,CWE-693,MID-001,Software Only Bootloader Authentication,foundational,"Under a software bootloader authentication scheme, the bootloader is authenticated using a software-based mechanism where the key, authenticated integrity measurement, and verification logic are stored within memory and the authentication is performed on a main/multipurpose processor. This performs boot-time integrity verification of the bootloader to ensure it was not previously modified or tampered with. Before a bootloader is executed, it should be authenticated by taking an integrity measurement (e.g., hash) of the bootloader, and verifying the hash against a stored signed integrity measurement stored in a bootrom. A device may have multiple bootloaders which operate in multiple stages; therefore, this mitigation may need to be implemented and executed multiple times across the stages to ensure the integrity of each stage.

Lastly, authenticating the first and all subsequent bootloaders allows the device to build a chain-of-trust, through which a secure boot scheme can be made for the device. Secure boot schemes allow the device to use earlier-staged authenticated bootloaders to authenticate and launch subsequent bootloaders and software.

Because this mitigation stores the keys and authentication logic/mechanisms in memory and executes checks on the main CPU, this mitigation is vulnerable to key extractions (*TID-214: Secrets Extracted from Device Root of Trust*) and tampering with the authentication process (*TID-214: Inadequate Bootloader Protection and Verification*). To minimize this threat, the first stage of the bootloader that performs this check should be stored within ROM to prevent modification by possible malicious code injected at runtime.

<u>Note</u>: This mitigation is in contrast to a hardware-based bootloader authentication scheme (*MID-002 - Hardware-backed Bootloader Authentication*), where dedicated hardware is used to protect the key and authentication process.

<u>Limitation</u>: A software-based bootloader authentication scheme can be bypassed if a threat actor is able to physically extract symmetric keys from storage, memory, or through side-channel analysis of the processor while the key is in-use. Additionally, if the device is using asymmetric encryption, these protections can be undermined by changing the hash of the public key or the public key itself stored on the device.",EDR / HDR / NDR 3.14 – Integrity of the boot process
PID-31,Application-level software is present and running on the device,TID-301,Applications Binaries Modified,"A threat actor could modify application-level binaries or libraries on the device to introduce unauthorized code, maintain persistence, or evade detection. This could also include the modification of runtime libraries used to support the execution of programs, along with key PLC function blocks used to structure the execution of application function blocks, such as organizational blocks.","ATT&CK Technique: Modify Controller Tasking (T0821), (https://attack.mitre.org/techniques/T0821/)",,CWE-862,MID-001,Software Only Bootloader Authentication,foundational,"Under a software bootloader authentication scheme, the bootloader is authenticated using a software-based mechanism where the key, authenticated integrity measurement, and verification logic are stored within memory and the authentication is performed on a main/multipurpose processor. This performs boot-time integrity verification of the bootloader to ensure it was not previously modified or tampered with. Before a bootloader is executed, it should be authenticated by taking an integrity measurement (e.g., hash) of the bootloader, and verifying the hash against a stored signed integrity measurement stored in a bootrom. A device may have multiple bootloaders which operate in multiple stages; therefore, this mitigation may need to be implemented and executed multiple times across the stages to ensure the integrity of each stage.

Lastly, authenticating the first and all subsequent bootloaders allows the device to build a chain-of-trust, through which a secure boot scheme can be made for the device. Secure boot schemes allow the device to use earlier-staged authenticated bootloaders to authenticate and launch subsequent bootloaders and software.

Because this mitigation stores the keys and authentication logic/mechanisms in memory and executes checks on the main CPU, this mitigation is vulnerable to key extractions (*TID-214: Secrets Extracted from Device Root of Trust*) and tampering with the authentication process (*TID-214: Inadequate Bootloader Protection and Verification*). To minimize this threat, the first stage of the bootloader that performs this check should be stored within ROM to prevent modification by possible malicious code injected at runtime.

<u>Note</u>: This mitigation is in contrast to a hardware-based bootloader authentication scheme (*MID-002 - Hardware-backed Bootloader Authentication*), where dedicated hardware is used to protect the key and authentication process.

<u>Limitation</u>: A software-based bootloader authentication scheme can be bypassed if a threat actor is able to physically extract symmetric keys from storage, memory, or through side-channel analysis of the processor while the key is in-use. Additionally, if the device is using asymmetric encryption, these protections can be undermined by changing the hash of the public key or the public key itself stored on the device.",EDR / HDR / NDR 3.14 – Integrity of the boot process
PID-21,Device includes a bootloader,TID-201,Inadequate Bootloader Protection and Verification,"Some devices utilize bootloaders that are either stored in writable memory or memory that can be made writable. It may then be possible for a threat actor to alter the contents of the device's designated boot code storage locations to inject malicious code or modify the bootloader's operation. This could allow the installation of a ""bootkit"", which is loaded before the operating system and can undermine any security protections within the bootloader or operating system. Typically, this is done through a vulnerability or lack of write protections in the bootloader loader/runtime environment.","ATT&CK Technique: Pre-OS Boot: Bootkit (T1542.003) (https://attack.mitre.org/techniques/T1542/003/); Detecting UEFI Bootkits in the Wild (Part 1) (https://blogs.vmware.com/security/2021/06/detecting-uefi-bootkits-in-the-wild-part-1.html); LOJAX First UEFI rootkit found in the wild, courtesy of the Sednit group (https://www.eset.com/fileadmin/ESET/US/resources/datasheets/ESETus-datasheet-lojax.pdf); MosaicRegressor: Lurking in the Shadows of UEFI (https://securelist.com/mosaicregressor/98849/); TRICKBOT NOW OFFERS ‘TRICKBOOT’: PERSIST, BRICK, PROFIT (https://eclypsium.com/wp-content/uploads/TrickBot-Now-Offers-TrickBoot-Persist-Brick-Profit.pdf)",,CWE-693; CWE-284,MID-002,Hardware-backed Bootloader Authentication,intermediate,"A secure boot scheme where a hardware root of trust verifies the integrity of the bootloader will give a device strong security against bootloader tampering prior to boot time. A hardware root of trust gives a device the ability to securely store signatures and keys somewhere that they cannot be accessed before or after booting. This root of trust can then be used to perform boot-time integrity verification of the bootloader to ensure it was not previously modified or tampered with. Before a bootloader is executed, it should be authenticated by taking an integrity measurement (e.g., hash) of the bootloader, and verifying the integrity measurement against a signed integrity measurement stored in the hardware element. A device may have multiple bootloaders which operate in multiple stages, this mitigation may need to be implemented and executed across multiple times to ensure integrity of each stage.

Additionally, this hardware root of trust can be used to anchor a chain-of-trust flowing from the bootloader that can be used to verify the integrity of other modules on the device.

This implementation will vary based on different secure boot schemes and frameworks, along with device architectures and operating systems.

<u>Note</u>: This Mi0tigation requires that the device has a secure hardware root of trust. Please see *PID-25 - Device includes software/hardware root of trust* for information about related threats and mitigations.",EDR / HDR/ NDR 3.14 – Integrity of the boot process
PID-231,Device includes an operating system that uses drivers/modules that can be loaded,TID-203,Malicious OS Kernel Driver/Module Installable,"Threat actors may be able to install a driver or kernel module with malicious code to load a rootkit and manipulate the OS. Drivers and kernel modules generally operate with a high-level privileges (e.g. Ring 0) and therefore can be used to manipulate the operation of the existing OS. OS kernel modules and drivers can typically be installed by any users with root/administrative permissions, though some OSes require that drivers be digitally signed by a trusted OEM before they can be installed on a device.",Syslogk Rootkit (https://decoded.avast.io/davidalvarez/linux-threat-hunting-syslogk-a-kernel-rootkit-found-under-development-in-the-wild/),,CWE-306,MID-002,Hardware-backed Bootloader Authentication,intermediate,"A secure boot scheme where a hardware root of trust verifies the integrity of the bootloader will give a device strong security against bootloader tampering prior to boot time. A hardware root of trust gives a device the ability to securely store signatures and keys somewhere that they cannot be accessed before or after booting. This root of trust can then be used to perform boot-time integrity verification of the bootloader to ensure it was not previously modified or tampered with. Before a bootloader is executed, it should be authenticated by taking an integrity measurement (e.g., hash) of the bootloader, and verifying the integrity measurement against a signed integrity measurement stored in the hardware element. A device may have multiple bootloaders which operate in multiple stages, this mitigation may need to be implemented and executed across multiple times to ensure integrity of each stage.

Additionally, this hardware root of trust can be used to anchor a chain-of-trust flowing from the bootloader that can be used to verify the integrity of other modules on the device.

This implementation will vary based on different secure boot schemes and frameworks, along with device architectures and operating systems.

<u>Note</u>: This Mi0tigation requires that the device has a secure hardware root of trust. Please see *PID-25 - Device includes software/hardware root of trust* for information about related threats and mitigations.",EDR / HDR/ NDR 3.14 – Integrity of the boot process
PID-271,Device has firmware or software that is not cryptographically checked for integrity validation,TID-211,Device Allows Unauthenticated Firmware Installation,"If a device does not have a mechanism to authenticate firmware updates, a threat actor may be able to install malicious or corrupt firmware on the device. In such cases, an adversary may craft a customized or maliciously modified firmware update package that, if properly formed, the device will install it without challenge. The unauthorized firmware could then be used to (i) “brick” the device and prevent it from being reset, (ii) install malicious logic on the device, including to gain persistence, or (iii) enable access to ease reverse engineering the device to identify remotely exploitable vulnerabilities, depending on how the firmware was formed and how the target device responds to it. Devices that perform only error checking of update packages prior to installation (e.g., parity checks, hash checks without a cryptographic signature, etc.) will be susceptible to this threat.

This threat also includes any firmware authentication mechanisms that are not enforced on the device. If devices don't check firmware integrity/download command authenticity on-device, threat actors may be able to falsely attest that their firmware is secure, thereby bypassing firmware integrity checks. One mechanism through which threat actors could perform this action is by taking advantage of a device's reliance on a separate management device or service to check firmware. Threat actors may be able to spoof the management device firmware check and successfully initiate a malicious firmware download.",EQUATION GROUP: QUESTIONS AND ANSWERS (https://media.kasperskycontenthub.com/wp-content/uploads/sites/43/2018/03/08064459/Equation_group_questions_and_answers.pdf); ATT&CK Technique: System Firmware (T0857) (https://attack.mitre.org/techniques/T0857/); On the recent vulnerability in Diebold Nixdorf ATMs (https://habr.com/en/companies/pt/articles/589291/),CVE-2015-6492; CVE-2015-6492,CWE-306,MID-002,Hardware-backed Bootloader Authentication,intermediate,"A secure boot scheme where a hardware root of trust verifies the integrity of the bootloader will give a device strong security against bootloader tampering prior to boot time. A hardware root of trust gives a device the ability to securely store signatures and keys somewhere that they cannot be accessed before or after booting. This root of trust can then be used to perform boot-time integrity verification of the bootloader to ensure it was not previously modified or tampered with. Before a bootloader is executed, it should be authenticated by taking an integrity measurement (e.g., hash) of the bootloader, and verifying the integrity measurement against a signed integrity measurement stored in the hardware element. A device may have multiple bootloaders which operate in multiple stages, this mitigation may need to be implemented and executed across multiple times to ensure integrity of each stage.

Additionally, this hardware root of trust can be used to anchor a chain-of-trust flowing from the bootloader that can be used to verify the integrity of other modules on the device.

This implementation will vary based on different secure boot schemes and frameworks, along with device architectures and operating systems.

<u>Note</u>: This Mi0tigation requires that the device has a secure hardware root of trust. Please see *PID-25 - Device includes software/hardware root of trust* for information about related threats and mitigations.",EDR / HDR/ NDR 3.14 – Integrity of the boot process
PID-2722,Device includes digitally signed firmware (with private key),TID-213,FW/SW Update Integrity Shared Secrets Extraction,"To avoid the weaknesses of a shared secret verification (see TID-212), devices may utilize a digital signature verification scheme based on asymmetric public key cryptography. However, if the device does not correctly verify a firmware/software signature correctly, a threat actor can bypass the device's authenticity checking mechanisms to upload malicious or corrupt version. The unauthorized firmware could “brick” the device, preventing it from being reset. This could also be used to install malicious logic on the device.

NOTE: firmware/software signature here refers to processes that use cryptographic keys to verify firmware integrity and origin. These can include keyed hashes and/or asymmetric key signing. This does not include encrypting firmware with no other integrity verification mechanisms in-place.",,CVE-2021-43394; CVE-2021-43393; CVE-2023-33768; CVE-2023-33768; CVE-2020-3209; CVE-2020-3209; CVE-2023-41991; CVE-2023-41991,CWE-347,MID-002,Hardware-backed Bootloader Authentication,intermediate,"A secure boot scheme where a hardware root of trust verifies the integrity of the bootloader will give a device strong security against bootloader tampering prior to boot time. A hardware root of trust gives a device the ability to securely store signatures and keys somewhere that they cannot be accessed before or after booting. This root of trust can then be used to perform boot-time integrity verification of the bootloader to ensure it was not previously modified or tampered with. Before a bootloader is executed, it should be authenticated by taking an integrity measurement (e.g., hash) of the bootloader, and verifying the integrity measurement against a signed integrity measurement stored in the hardware element. A device may have multiple bootloaders which operate in multiple stages, this mitigation may need to be implemented and executed across multiple times to ensure integrity of each stage.

Additionally, this hardware root of trust can be used to anchor a chain-of-trust flowing from the bootloader that can be used to verify the integrity of other modules on the device.

This implementation will vary based on different secure boot schemes and frameworks, along with device architectures and operating systems.

<u>Note</u>: This Mi0tigation requires that the device has a secure hardware root of trust. Please see *PID-25 - Device includes software/hardware root of trust* for information about related threats and mitigations.",EDR / HDR/ NDR 3.14 – Integrity of the boot process
